iteration,local_LB,local_UB,LB,UB,gap
1,44.0,227,44.0,227,0.806
2,-39.951,57,44.0,57,0.228
3,-35.488,57,44.0,57,0.228
4,-31.203,57,44.0,57,0.228
5,-27.116,57,44.0,57,0.228
6,-23.219,57,44.0,57,0.228
7,-19.502,57,44.0,57,0.228
8,-16.559,62,44.0,57,0.228
9,-13.558,57,44.0,57,0.228
10,-10.527,62,44.0,57,0.228
11,-7.961,57,44.0,57,0.228
12,-5.204,62,44.0,57,0.228
13,-3.143,57,44.0,57,0.228
14,-0.617,64,44.0,57,0.228
15,1.255,64,44.0,57,0.228
16,3.211,57,44.0,57,0.228
17,5.271,62,44.0,57,0.228
18,6.818,58,44.0,57,0.228
19,8.198,54,44.0,54,0.185
20,9.534,64,44.0,54,0.185
21,10.921,64,44.0,54,0.185
22,12.221,54,44.0,54,0.185
23,13.576,58,44.0,54,0.185
24,14.696,54,44.0,54,0.185
25,15.672,64,44.0,54,0.185
26,16.725,57,44.0,54,0.185
27,17.868,54,44.0,54,0.185
28,18.685,58,44.0,54,0.185
29,19.847,54,44.0,54,0.185
30,20.655,58,44.0,54,0.185
31,21.568,64,44.0,54,0.185
32,22.448,54,44.0,54,0.185
33,23.22,64,44.0,54,0.185
34,24.186,58,44.0,54,0.185
35,24.946,54,44.0,54,0.185
36,25.7,64,44.0,54,0.185
37,26.526,58,44.0,54,0.185
38,27.137,54,44.0,54,0.185
39,27.972,57,44.0,54,0.185
40,28.685,54,44.0,54,0.185
41,29.368,58,44.0,54,0.185
42,29.932,64,44.0,54,0.185
43,30.574,54,44.0,54,0.185
44,31.195,62,44.0,54,0.185
45,31.85,58,44.0,54,0.185
46,32.397,54,44.0,54,0.185
47,32.935,64,44.0,54,0.185
48,33.579,57,44.0,54,0.185
49,33.987,54,44.0,54,0.185
50,34.504,58,44.0,54,0.185
51,35.052,64,44.0,54,0.185
52,35.452,54,44.0,54,0.185
53,35.959,58,44.0,54,0.185
54,36.431,54,44.0,54,0.185
55,36.865,57,44.0,54,0.185
56,37.356,58,44.0,54,0.185
57,37.71,54,44.0,54,0.185
58,38.085,57,44.0,54,0.185
59,38.578,54,44.0,54,0.185
60,38.936,58,44.0,54,0.185
61,39.317,57,44.0,54,0.185
62,39.665,54,44.0,54,0.185
63,39.99,64,44.0,54,0.185
64,40.337,58,44.0,54,0.185
65,40.669,54,44.0,54,0.185
66,40.985,57,44.0,54,0.185
67,41.305,54,44.0,54,0.185
68,41.574,58,44.0,54,0.185
69,41.88,62,44.0,54,0.185
70,42.145,54,44.0,54,0.185
71,42.403,57,44.0,54,0.185
72,42.666,54,44.0,54,0.185
73,42.915,58,44.0,54,0.185
74,43.084,54,44.0,54,0.185
75,43.338,64,44.0,54,0.185
76,43.521,54,44.0,54,0.185
77,43.755,57,44.0,54,0.185
78,43.995,54,44.0,54,0.185
79,44.18,58,44.18,54,0.182
80,44.371,54,44.371,54,0.178
81,44.585,57,44.585,54,0.174
82,44.774,54,44.774,54,0.171
83,44.985,58,44.985,54,0.167
84,45.113,54,45.113,54,0.165
85,45.259,57,45.259,54,0.162
86,45.442,54,45.442,54,0.158
87,45.594,62,45.594,54,0.156
88,45.721,54,45.721,54,0.153
89,45.839,58,45.839,54,0.151
90,45.994,54,45.994,54,0.148
91,46.136,57,46.136,54,0.146
92,46.27,54,46.27,54,0.143
93,46.418,58,46.418,54,0.14
94,46.483,54,46.483,54,0.139
95,46.685,57,46.685,54,0.135
96,46.733,54,46.733,54,0.135
97,46.923,58,46.923,54,0.131
98,46.951,54,46.951,54,0.131
99,47.128,64,47.128,54,0.127
100,47.169,54,47.169,54,0.127
CPU time: 532.0514576435089
