iteration,local_LB,local_UB,LB,UB,gap
1,25.0,159,25.0,159,0.843
2,-45.0,33,25.0,33,0.242
3,-14.0,38,25.0,33,0.242
4,-1.0,38,25.0,33,0.242
5,15.75,43,25.0,33,0.242
6,20.367,33,25.0,33,0.242
7,25.517,40,25.517,33,0.227
8,25.245,40,25.517,33,0.227
9,27.267,33,27.267,33,0.174
10,28.851,33,28.851,33,0.126
11,30.856,33,30.856,33,0.065
12,30.656,33,30.856,33,0.065
13,30.754,33,30.856,33,0.065
14,31.325,33,31.325,33,0.051
15,30.814,33,31.325,33,0.051
16,32.073,33,32.073,33,0.028
17,31.713,33,32.073,33,0.028
18,31.855,33,32.073,33,0.028
19,31.867,33,32.073,33,0.028
20,31.971,33,32.073,33,0.028
21,32.262,33,32.262,33,0.022
22,32.275,33,32.275,33,0.022
23,32.08,33,32.275,33,0.022
24,32.489,33,32.489,33,0.015
25,32.4,33,32.489,33,0.015
26,32.402,33,32.489,33,0.015
27,32.298,33,32.489,33,0.015
28,32.745,33,32.745,33,0.008
29,32.533,33,32.745,33,0.008
30,32.63,33,32.745,33,0.008
31,32.453,33,32.745,33,0.008
32,32.843,33,32.843,33,0.005
CPU time: 186.46325373649597
